time	I(R1)	I(R4)
1.578108960744820e-001	6.610948e-004	2.296865e-004
1.578198910724633e-001	9.807982e-004	4.051517e-004
1.578326844853784e-001	1.256821e-003	6.095049e-004
1.578381690518445e-001	1.330629e-003	6.752065e-004
1.578421534300710e-001	1.365738e-003	7.080100e-004
1.578451746647925e-001	1.383126e-003	7.244804e-004
1.578489252747986e-001	1.394199e-003	7.352140e-004
1.578526004162672e-001	1.394061e-003	7.355335e-004
1.578572324891747e-001	1.375778e-003	7.192338e-004
1.578647377956075e-001	1.305289e-003	6.571005e-004
1.578759196507367e-001	1.089079e-003	5.024723e-004
1.578883882764603e-001	6.652499e-004	2.684846e-004
1.578972194286341e-001	2.517311e-004	7.489691e-005
1.579053731968592e-001	-1.682402e-004	-1.112786e-004
1.579136520427056e-001	-5.724638e-004	-2.895183e-004
1.579242075911068e-001	-1.013123e-003	-4.824825e-004
1.579353625144534e-001	-1.375224e-003	-6.401303e-004
1.579400952579716e-001	-1.481727e-003	-6.863493e-004
1.579435861470491e-001	-1.530629e-003	-7.074373e-004
1.579469429660469e-001	-1.557141e-003	-7.186502e-004
1.579506411869565e-001	-1.565312e-003	-7.217333e-004
1.579540440293587e-001	-1.550588e-003	-7.148235e-004
1.579595781379427e-001	-1.479061e-003	-6.829754e-004
1.579685058518340e-001	-1.266473e-003	-5.902261e-004
1.579802348126642e-001	-8.487168e-004	-4.102945e-004
1.579919318726167e-001	-3.205423e-004	-1.843343e-004
1.580008212099478e-001	1.253227e-004	5.778616e-006
1.580101258679642e-001	5.849321e-004	2.044925e-004
1.580185821305121e-001	9.098419e-004	3.662568e-004
1.580311819853199e-001	1.205939e-003	5.660515e-004
1.580373111061453e-001	1.293134e-003	6.402868e-004
1.580415203271700e-001	1.331932e-003	6.759894e-004
1.580446551206893e-001	1.351066e-003	6.939278e-004
1.580482360499712e-001	1.362802e-003	7.051959e-004
1.580523438052821e-001	1.364221e-003	7.070395e-004
1.580568151311947e-001	1.348908e-003	6.936413e-004
1.580640645640070e-001	1.285505e-003	6.386799e-004
1.580750562131303e-001	1.079906e-003	4.970364e-004
1.580873546322108e-001	6.665681e-004	2.794522e-004
1.580961929985826e-001	2.546457e-004	9.493563e-005
1.581043542685581e-001	-1.659734e-004	-8.414346e-005
1.581126684588354e-001	-5.766153e-004	-2.581250e-004
1.581228021850043e-001	-1.007307e-003	-4.393604e-004
1.581351229659337e-001	-1.417510e-003	-6.109058e-004
1.581399213775961e-001	-1.528661e-003	-6.573093e-004
1.581434562135264e-001	-1.579158e-003	-6.783344e-004
1.581467866220287e-001	-1.606465e-003	-6.895450e-004
1.581503635802483e-001	-1.615865e-003	-6.931534e-004
1.581535920194883e-001	-1.604027e-003	-6.878545e-004
1.581588441648464e-001	-1.541548e-003	-6.612266e-004
1.581673298941683e-001	-1.350383e-003	-5.812501e-004
1.581789223814852e-001	-9.481558e-004	-4.152778e-004
1.581923007818276e-001	-3.496706e-004	-1.701659e-004
1.582015056585726e-001	1.100841e-004	1.773938e-005
1.582110774893868e-001	5.808079e-004	2.128278e-004
1.582197259227059e-001	9.081284e-004	3.689351e-004
1.582325190206515e-001	1.197973e-003	5.581918e-004
1.582380513657186e-001	1.271750e-003	6.199951e-004
1.582420663930299e-001	1.305790e-003	6.511154e-004
1.582450665346553e-001	1.322544e-003	6.667476e-004
1.582487367106347e-001	1.333327e-003	6.771128e-004
1.582525302503982e-001	1.333838e-003	6.781445e-004
1.582571183798951e-001	1.317505e-003	6.641501e-004
1.582645538033480e-001	1.251412e-003	6.087388e-004
1.582755895595039e-001	1.033502e-003	4.699976e-004
1.582879691613868e-001	5.939915e-004	2.578526e-004
1.582967990566967e-001	1.733697e-004	8.052388e-005
1.583050263104023e-001	-2.505010e-004	-9.222826e-005
1.583133963916584e-001	-6.607776e-004	-2.587900e-004
1.583237499134886e-001	-1.092628e-003	-4.331395e-004
1.583361577237687e-001	-1.492348e-003	-5.938257e-004
1.583406745746894e-001	-1.591578e-003	-6.337786e-004
1.583440198476216e-001	-1.635371e-003	-6.514711e-004
1.583474661639607e-001	-1.658459e-003	-6.607624e-004
1.583520565392583e-001	-1.659823e-003	-6.612550e-004
1.583563478022131e-001	-1.627481e-003	-6.482174e-004
1.583633098603212e-001	-1.503278e-003	-5.986596e-004
1.583740189198601e-001	-1.185950e-003	-4.732649e-004
1.583863645626801e-001	-6.848619e-004	-2.763635e-004
1.583956715275132e-001	-2.369698e-004	-1.006303e-004
1.584041002129694e-001	1.924019e-004	6.764888e-005
1.584127613819734e-001	6.047429e-004	2.335920e-004
1.584226340421158e-001	9.512890e-004	3.966427e-004
1.584353838982846e-001	1.207691e-003	5.640358e-004
1.584401107942337e-001	1.260693e-003	6.089633e-004
1.584435977621430e-001	1.284455e-003	6.306772e-004
1.584469569512546e-001	1.298348e-003	6.436985e-004
1.584506660170867e-001	1.304435e-003	6.497845e-004
1.584540844574307e-001	1.300061e-003	6.464339e-004
1.584596437609429e-001	1.270466e-003	6.214684e-004
1.584686108417274e-001	1.160356e-003	5.411065e-004
1.584801235884317e-001	8.641361e-004	3.823299e-004
1.584914449894070e-001	3.905513e-004	1.823444e-004
1.584999679261752e-001	-4.000850e-005	1.441796e-005
1.585090821630546e-001	-5.046518e-004	-1.661709e-004
1.585174969176034e-001	-8.940349e-004	-3.168944e-004
1.585295415388762e-001	-1.353678e-003	-4.940657e-004
1.585373610216410e-001	-1.576028e-003	-5.797934e-004
1.585415570704621e-001	-1.655477e-003	-6.105090e-004
1.585446827738773e-001	-1.691983e-003	-6.246205e-004
1.585482696526705e-001	-1.712152e-003	-6.324004e-004
1.585523563265799e-001	-1.709593e-003	-6.314075e-004
1.585568354984239e-001	-1.671548e-003	-6.168163e-004
1.585640974352796e-001	-1.535098e-003	-5.649241e-004
1.585750101122615e-001	-1.200151e-003	-4.387003e-004
1.585875445439983e-001	-6.799047e-004	-2.436710e-004
1.585968213892482e-001	-2.288010e-004	-7.473977e-005
1.586052505969920e-001	2.005159e-004	8.591599e-005
1.586138722263510e-001	6.049476e-004	2.416996e-004
1.586241906489050e-001	9.619370e-004	4.019700e-004
1.586350853410565e-001	1.177518e-003	5.363539e-004
1.586398940940763e-001	1.229268e-003	5.795718e-004
1.586434358360093e-001	1.253057e-003	6.010039e-004
1.586467621198352e-001	1.267024e-003	6.139198e-004
1.586499632222494e-001	1.273242e-003	6.199823e-004
1.586529863303865e-001	1.271457e-003	6.189213e-004
1.586578599457258e-001	1.251890e-003	6.027789e-004
1.586657484615442e-001	1.174908e-003	5.449246e-004
1.586769914781603e-001	9.217894e-004	4.094187e-004
1.586896010942815e-001	4.261122e-004	2.065631e-004
1.586984118756893e-001	-9.988751e-006	4.357447e-005
1.587067687654730e-001	-4.391617e-004	-1.155732e-004
1.587152276163064e-001	-8.445567e-004	-2.653437e-004
1.587262156177758e-001	-1.288986e-003	-4.288307e-004
1.587360775340325e-001	-1.594460e-003	-5.410293e-004
1.587406160119856e-001	-1.690754e-003	-5.764583e-004
1.587439759502933e-001	-1.735042e-003	-5.927738e-004
1.587474131164149e-001	-1.758302e-003	-6.013247e-004
1.587520367146985e-001	-1.759944e-003	-6.019152e-004
1.587563155472536e-001	-1.727953e-003	-5.902133e-004
1.587632577385971e-001	-1.604535e-003	-5.454439e-004
1.587739470540264e-001	-1.288561e-003	-4.318620e-004
1.587862784018024e-001	-7.888228e-004	-2.531783e-004
1.587955934137788e-001	-3.408620e-004	-9.322420e-005
1.588040229010444e-001	8.856461e-005	5.995722e-005
1.588126881429049e-001	5.096270e-004	2.111149e-004
1.588225242046199e-001	8.752612e-004	3.591300e-004
