time	V(salida)	V(vi)
Step Information: C=100n  (Run: 1/5)
4.400764037175836e-003	-2.499864e-002	2.908496e-001
4.420295287175836e-003	-2.700297e-002	2.391608e-001
4.439826537175835e-003	-2.860063e-002	1.838748e-001
4.459357787175835e-003	-2.976767e-002	1.258232e-001
4.478889037175834e-003	-3.048664e-002	6.587908e-002
4.498420287175834e-003	-3.074683e-002	4.944071e-003
4.517951537175833e-003	-3.054442e-002	-5.606530e-002
4.537482787175833e-003	-2.988257e-002	-1.162314e-001
4.557014037175833e-003	-2.877130e-002	-1.746493e-001
4.576545287175832e-003	-2.722739e-002	-2.304402e-001
4.596076537175832e-003	-2.527409e-002	-2.827652e-001
4.615607787175831e-003	-2.294079e-002	-3.308371e-001
4.635139037175831e-003	-2.026257e-002	-3.739329e-001
4.654670287175831e-003	-1.727963e-002	-4.114044e-001
4.674201537175830e-003	-1.403678e-002	-4.426880e-001
4.693732787175830e-003	-1.058267e-002	-4.673131e-001
4.713264037175829e-003	-6.969154e-003	-4.849094e-001
4.732795287175829e-003	-3.251443e-003	-4.955069e-001
4.749257041534662e-003	-7.479995e-005	-4.987392e-001
4.764723854410551e-003	2.911231e-003	-4.963802e-001
4.784255104410551e-003	6.636241e-003	-4.866268e-001
4.803786354410550e-003	1.026394e-002	-4.699444e-001
4.823317604410550e-003	1.373810e-002	-4.461937e-001
4.842848854410550e-003	1.700635e-002	-4.157318e-001
4.862380104410549e-003	2.001951e-002	-3.790169e-001
4.881911354410549e-003	2.273219e-002	-3.366013e-001
4.901442604410548e-003	2.510352e-002	-2.891228e-001
4.920973854410548e-003	2.709774e-002	-2.372957e-001
4.940505104410548e-003	2.868475e-002	-1.818994e-001
4.960036354410547e-003	2.984058e-002	-1.237672e-001
4.979567604410547e-003	3.054775e-002	-6.377338e-002
4.999098854410546e-003	3.079552e-002	-2.820372e-003
5.018630104410546e-003	3.058009e-002	5.817505e-002
5.038161354410545e-003	2.990465e-002	1.182955e-001
5.057692604410545e-003	2.877931e-002	1.766366e-001
5.077223854410545e-003	2.722098e-002	2.323210e-001
5.096755104410544e-003	2.525311e-002	2.845110e-001
5.116286354410544e-003	2.290530e-002	3.324217e-001
5.135817604410543e-003	2.021291e-002	3.753325e-001
5.155348854410543e-003	1.721649e-002	4.125980e-001
5.174880104410543e-003	1.396118e-002	4.436576e-001
