Freq.	V(salida)
Step Information: C=100n  (Run: 1/5)
3.98107170553494e+002	-1.68833376359481e-003,1.20455495512974e-002
4.07380277804110e+002	-1.67585106880174e-003,1.23407011389473e-002
4.16869383470332e+002	-1.66256244804109e-003,1.26423938703415e-002
4.26579518801589e+002	-1.64843912580927e-003,1.29507828746771e-002
4.36515832240163e+002	-1.63345063053738e-003,1.32660267795145e-002
4.46683592150960e+002	-1.61756472625421e-003,1.35882877737223e-002
4.57088189614872e+002	-1.60074734102467e-003,1.39177316717606e-002
4.67735141287195e+002	-1.58296249199440e-003,1.42545279792554e-002
4.78630092322635e+002	-1.56417220686718e-003,1.45988499598139e-002
4.89778819368443e+002	-1.54433644163798e-003,1.49508747030218e-002
5.01187233627268e+002	-1.52341299439933e-003,1.53107831935660e-002
5.12861383991361e+002	-1.50135741503228e-003,1.56787603814130e-002
5.24807460249769e+002	-1.47812291059047e-003,1.60549952529755e-002
5.37031796370249e+002	-1.45366024617615e-003,1.64396809031878e-002
5.49540873857620e+002	-1.42791764110486e-003,1.68330146084088e-002
5.62341325190345e+002	-1.40084066014511e-003,1.72351979000625e-002
5.75439937337152e+002	-1.37237209961552e-003,1.76464366389187e-002
5.88843655355584e+002	-1.34245186811254e-003,1.80669410899098e-002
6.02559586074353e+002	-1.31101686163587e-003,1.84969259973709e-002
6.16595001861477e+002	-1.27800083286977e-003,1.89366106605811e-002
6.30957344480188e+002	-1.24333425437113e-003,1.93862190094740e-002
6.45654229034650e+002	-1.20694417540623e-003,1.98459796803757e-002
6.60693448007591e+002	-1.16875407217020e-003,2.03161260916164e-002
6.76082975391976e+002	-1.12868369111303e-003,2.07968965188509e-002
6.91830970918931e+002	-1.08664888508891e-003,2.12885341699077e-002
7.07945784384132e+002	-1.04256144203387e-003,2.17912872589756e-002
7.24435960074984e+002	-9.96328905869775e-004,2.23054090799189e-002
7.41310241300911e+002	-9.47854389321153e-004,2.28311580784977e-002
7.58577575029177e+002	-8.97036378322466e-004,2.33687979232516e-002
7.76247116628685e+002	-8.43768527684098e-004,2.39185975747870e-002
7.94328234724275e+002	-7.87939447674161e-004,2.44808313531873e-002
8.12830516164092e+002	-7.29432481164831e-004,2.50557790032453e-002
8.31763771102664e+002	-6.68125470981453e-004,2.56437257571939e-002
8.51138038202369e+002	-6.03890517082691e-004,2.62449623945844e-002
8.70963589956073e+002	-5.36593723191746e-004,2.68597852989407e-002
8.91250938133738e+002	-4.66094932487994e-004,2.74884965107831e-002
9.12010839355902e+002	-3.92247451960925e-004,2.81314037765929e-002
9.33254300796983e+002	-3.14897765018787e-004,2.87888205932507e-002
9.54992586021428e+002	-2.33885231936978e-004,2.94610662474522e-002
9.77237220955802e+002	-1.49041777724070e-004,3.01484658495675e-002
9.99999999999991e+002	-6.01915669765326e-005,3.08513503613713e-002
1.02329299228075e+003	3.28493347123444e-005,3.15700566170313e-002
1.04712854805089e+003	1.30273313228211e-004,3.23049273367003e-002
1.07151930523760e+003	2.32281572738060e-004,3.30563111320083e-002
1.09647819614318e+003	3.39084517264286e-004,3.38245625027063e-002
1.12201845430195e+003	4.50902147474096e-004,3.46100418236587e-002
1.14815362149687e+003	5.67964473128498e-004,3.54131153213290e-002
1.17489755493952e+003	6.90511941629821e-004,3.62341550388455e-002
1.20226443461740e+003	8.18795883102019e-004,3.70735387886707e-002
1.23026877081237e+003	9.53078972429585e-004,3.79316500918376e-002
1.25892541179416e+003	1.09363570866933e-003,3.88088781026452e-002
1.28824955169312e+003	1.24075291223474e-003,3.97056175176356e-002
1.31825673855640e+003	1.39473024023497e-003,4.06222684675994e-002
1.34896288259164e+003	1.55588072032811e-003,4.15592363912791e-002
1.38038426460287e+003	1.72453130342185e-003,4.25169318893538e-002
1.41253754462274e+003	1.90102343552330e-003,4.34957705572068e-002
1.44543977074591e+003	2.08571364900275e-003,4.44961727948816e-002
1.47910838816819e+003	2.27897417349330e-003,4.55185635925430e-002
1.51356124843619e+003	2.48119356659958e-003,4.65633722896560e-002
1.54881661891247e+003	2.69277736453036e-003,4.76310323059958e-002
1.58489319246110e+003	2.91414875270813e-003,4.87219808424961e-002
1.62181009735891e+003	3.14574925633288e-003,4.98366585498290e-002
1.65958690743754e+003	3.38803945079693e-003,5.09755091625004e-002
1.69824365246173e+003	3.64149969175395e-003,5.21389790961238e-002
1.73780082874936e+003	3.90663086454184e-003,5.33275170054174e-002
1.77827941003891e+003	4.18395515254348e-003,5.45415733003433e-002
1.81970085860997e+003	4.47401682394058e-003,5.57815996176855e-002
1.86208713666285e+003	4.77738303617255e-003,5.70480482452308e-002
1.90546071796323e+003	5.09464465725525e-003,5.83413714955933e-002
1.94984459975803e+003	5.42641710293958e-003,5.96620210265872e-002
1.99526231496886e+003	5.77334118849816e-003,6.10104471049303e-002
2.04173794466951e+003	6.13608399371811e-003,6.23870978099251e-002
2.08929613085402e+003	6.51533973944812e-003,6.37924181736445e-002
2.13796208950221e+003	6.91183067379506e-003,6.52268492540237e-002
2.18776162394953e+003	7.32630796579279e-003,6.66908271371431e-002
2.23872113856832e+003	7.75955260406677e-003,6.81847818648773e-002
2.29086765276775e+003	8.21237629769487e-003,6.97091362839840e-002
2.34422881531990e+003	8.68562237611595e-003,7.12643048126139e-002
2.39883291901947e+003	9.18016668455881e-003,7.28506921201470e-002
2.45470891568501e+003	9.69691847105936e-003,7.44686917161973e-002
2.51188643150955e+003	1.02368212606958e-002,7.61186844445862e-002
2.57039578276884e+003	1.08008537122048e-002,7.78010368780624e-002
2.63026799189535e+003	1.13900304516428e-002,7.95160996095514e-002
2.69153480392689e+003	1.20054028772230e-002,8.12642054357530e-002
2.75422870333814e+003	1.26480599288944e-002,8.30456674289701e-002
2.81838293126442e+003	1.33191288156323e-002,8.48607768931638e-002
2.88403150312658e+003	1.40197756927758e-002,8.67098012003749e-002
