time	V(n001)	V(n002)	I(D1)
8.771170535681887e-002	7.982527e+000	7.276047e+000	7.276047e-003
8.822788839253314e-002	7.887474e+000	7.181366e+000	7.181366e-003
8.874407142824739e-002	7.685493e+000	6.980164e+000	6.980163e-003
8.926025446396164e-002	7.376583e+000	6.672439e+000	6.672439e-003
8.977643749967590e-002	6.960744e+000	6.258193e+000	6.258193e-003
9.006940624967588e-002	6.689377e+000	5.987922e+000	5.987923e-003
9.036237499967587e-002	6.406458e+000	5.706248e+000	5.706248e-003
9.065534374967585e-002	6.111987e+000	5.413169e+000	5.413169e-003
9.094831249967583e-002	5.805965e+000	5.108686e+000	5.108686e-003
9.124128124967582e-002	5.488392e+000	4.792799e+000	4.792799e-003
9.153424999967580e-002	5.159268e+000	4.465509e+000	4.465509e-003
9.182721874967578e-002	4.818592e+000	4.126814e+000	4.126814e-003
9.207833482110434e-002	4.530505e+000	3.840573e+000	3.840573e-003
9.232945089253290e-002	4.252576e+000	3.564574e+000	3.564574e-003
9.258056696396146e-002	3.984804e+000	3.298818e+000	3.298818e-003
9.283168303539001e-002	3.727190e+000	3.043304e+000	3.043304e-003
9.308279910681856e-002	3.479735e+000	2.798033e+000	2.798032e-003
9.333391517824713e-002	3.242437e+000	2.563004e+000	2.563003e-003
9.358503124967568e-002	3.015297e+000	2.338217e+000	2.338217e-003
9.387799999967567e-002	2.779577e+000	2.105212e+000	2.105212e-003
9.417096874967565e-002	2.570916e+000	1.899213e+000	1.899213e-003
9.446393749967563e-002	2.391855e+000	1.722675e+000	1.722675e-003
9.475690624967562e-002	2.244577e+000	1.577670e+000	1.577670e-003
9.495221874967560e-002	2.164952e+000	1.499361e+000	1.499361e-003
9.514753124967559e-002	2.100691e+000	1.436211e+000	1.436211e-003
9.534284374967558e-002	2.052141e+000	1.388533e+000	1.388533e-003
9.553815624967557e-002	2.019566e+000	1.356560e+000	1.356560e-003
9.573346874967556e-002	2.003141e+000	1.340444e+000	1.340444e-003
9.592878124967555e-002	2.002958e+000	1.340264e+000	1.340264e-003
9.612409374967554e-002	2.019015e+000	1.356019e+000	1.356020e-003
9.631940624967553e-002	2.051227e+000	1.387636e+000	1.387636e-003
9.651471874967552e-002	2.099418e+000	1.434961e+000	1.434961e-003
9.671003124967550e-002	2.163328e+000	1.497764e+000	1.497764e-003
9.700299999967549e-002	2.287884e+000	1.620288e+000	1.620288e-003
9.729596874967547e-002	2.445491e+000	1.775530e+000	1.775530e-003
9.758893749967545e-002	2.634227e+000	1.961688e+000	1.961688e-003
9.788190624967544e-002	2.851792e+000	2.176565e+000	2.176565e-003
9.813302232110399e-002	3.064733e+000	2.387128e+000	2.387128e-003
9.838413839253256e-002	3.289652e+000	2.609743e+000	2.609743e-003
9.863525446396111e-002	3.526549e+000	2.844409e+000	2.844409e-003
9.888637053538966e-002	3.775425e+000	3.091126e+000	3.091125e-003
9.913748660681822e-002	4.036279e+000	3.349893e+000	3.349893e-003
9.938860267824679e-002	4.309111e+000	3.620712e+000	3.620712e-003
9.963971874967534e-002	4.593921e+000	3.903582e+000	3.903582e-003
9.993268749967532e-002	4.923900e+000	4.231472e+000	4.231472e-003
1.000000000000000e-001	5.000000e+000	4.307111e+000	4.307111e-003
